order_id,created_at,channel,gross,currency,customer_email
AC-5003,2026-02-05T01:05:00Z,TikTok,101.26,GBP,a171@example.invalid
AC-5004,2026-02-05T02:35:00Z,Pinterest,99.51,GBP,a679@example.invalid
AC-5010,2026-02-05T03:35:00Z,Pinterest,154.73,GBP,a677@example.invalid
AC-5009,2026-02-05T03:37:00Z,TikTok,127.67,GBP,a292@example.invalid
AC-5005,2026-02-05T07:40:00Z,Instagram,138.47,GBP,a163@example.invalid
AC-5002,2026-02-05T11:37:00Z,Instagram,29.14,GBP,a619@example.invalid
AC-5001,2026-02-05T12:41:00Z,TikTok,27.27,GBP,a648@example.invalid
AC-5008,2026-02-05T17:07:00Z,TikTok,127.62,GBP,a673@example.invalid
AC-5007,2026-02-05T17:54:00Z,Instagram,43.57,GBP,a529@example.invalid
AC-5006,2026-02-05T18:25:00Z,Newsletter,27.52,GBP,a326@example.invalid
AC-5014,2026-02-06T02:36:00Z,TikTok,75.65,GBP,a606@example.invalid
AC-5011,2026-02-06T06:31:00Z,Newsletter,148.64,GBP,a537@example.invalid
AC-5013,2026-02-06T07:50:00Z,Search,52.52,GBP,a898@example.invalid
AC-5012,2026-02-06T14:37:00Z,Search,195.30,GBP,a470@example.invalid
AC-5017,2026-02-06T15:26:00Z,TikTok,25.53,GBP,a784@example.invalid
AC-5016,2026-02-06T16:26:00Z,Instagram,49.67,GBP,a450@example.invalid
AC-5018,2026-02-06T17:36:00Z,Instagram,169.51,GBP,a421@example.invalid
AC-5015,2026-02-06T23:28:00Z,Search,73.28,GBP,a174@example.invalid
AC-5021,2026-02-07T01:46:00Z,Instagram,152.69,GBP,a762@example.invalid
AC-5020,2026-02-07T02:17:00Z,Instagram,109.03,GBP,a780@example.invalid
AC-5024,2026-02-07T05:39:00Z,Search,40.48,GBP,a160@example.invalid
AC-5028,2026-02-07T08:45:00Z,Newsletter,97.74,GBP,a467@example.invalid
AC-5027,2026-02-07T08:56:00Z,Newsletter,44.29,GBP,a540@example.invalid
AC-5025,2026-02-07T09:08:00Z,TikTok,159.77,GBP,a507@example.invalid
AC-5026,2026-02-07T15:05:00Z,Direct,49.94,GBP,a511@example.invalid
AC-5019,2026-02-07T19:31:00Z,Search,129.34,GBP,a567@example.invalid
AC-5023,2026-02-07T21:22:00Z,Direct,22.33,GBP,a572@example.invalid
AC-5022,2026-02-07T21:52:00Z,Newsletter,103.56,GBP,a833@example.invalid
AC-5039,2026-02-08T00:04:00Z,Newsletter,185.87,GBP,a728@example.invalid
AC-5030,2026-02-08T00:31:00Z,TikTok,177.57,GBP,a286@example.invalid
AC-5037,2026-02-08T03:21:00Z,TikTok,133.34,GBP,a204@example.invalid
AC-5029,2026-02-08T04:05:00Z,TikTok,51.83,GBP,a337@example.invalid
AC-5036,2026-02-08T06:04:00Z,Instagram,207.06,GBP,a551@example.invalid
AC-5031,2026-02-08T09:00:00Z,Search,45.97,GBP,a647@example.invalid
AC-5035,2026-02-08T12:06:00Z,Direct,110.45,GBP,a510@example.invalid
AC-5038,2026-02-08T18:09:00Z,Instagram,121.03,GBP,a472@example.invalid
AC-5032,2026-02-08T19:36:00Z,Search,79.17,GBP,a228@example.invalid
AC-5033,2026-02-08T19:41:00Z,Newsletter,147.83,GBP,a155@example.invalid
AC-5034,2026-02-08T21:51:00Z,Direct,125.38,GBP,a507@example.invalid
AC-5045,2026-02-09T04:44:00Z,Search,122.29,GBP,a127@example.invalid
AC-5050,2026-02-09T07:52:00Z,TikTok,94.93,GBP,a332@example.invalid
AC-5046,2026-02-09T09:41:00Z,Newsletter,183.76,GBP,a812@example.invalid
AC-5041,2026-02-09T15:07:00Z,Search,40.15,GBP,a599@example.invalid
AC-5042,2026-02-09T15:30:00Z,Direct,77.88,GBP,a247@example.invalid
AC-5044,2026-02-09T16:01:00Z,TikTok,57.40,GBP,a640@example.invalid
AC-5047,2026-02-09T16:23:00Z,Search,192.39,GBP,a464@example.invalid
AC-5048,2026-02-09T17:34:00Z,TikTok,167.58,GBP,a437@example.invalid
AC-5049,2026-02-09T19:51:00Z,TikTok,169.37,GBP,a876@example.invalid
AC-5040,2026-02-09T20:16:00Z,TikTok,201.45,GBP,a716@example.invalid
AC-5043,2026-02-09T23:21:00Z,Instagram,160.15,GBP,a590@example.invalid
AC-5054,2026-02-10T02:14:00Z,Search,37.61,GBP,a581@example.invalid
AC-5059,2026-02-10T02:51:00Z,Search,199.66,GBP,a839@example.invalid
AC-5055,2026-02-10T10:13:00Z,TikTok,110.67,GBP,a724@example.invalid
AC-5053,2026-02-10T14:51:00Z,Search,197.91,GBP,a457@example.invalid
AC-5052,2026-02-10T15:16:00Z,Search,55.18,GBP,a719@example.invalid
AC-5051,2026-02-10T15:22:00Z,Newsletter,158.35,GBP,a128@example.invalid
AC-5058,2026-02-10T15:56:00Z,TikTok,52.28,GBP,a751@example.invalid
AC-5056,2026-02-10T15:58:00Z,Instagram,143.37,GBP,a758@example.invalid
AC-5057,2026-02-10T21:07:00Z,Instagram,192.68,GBP,a828@example.invalid
